location,date,variant,num_sequences
Angola,2020-07-06,Alpha,0
Angola,2020-07-06,B.1.1.277,0
Angola,2020-07-06,B.1.1.302,0
Angola,2020-07-06,B.1.1.519,0
Angola,2020-07-06,B.1.160,0
Angola,2020-07-06,B.1.177,0
Angola,2020-07-06,B.1.221,0
Angola,2020-07-06,B.1.258,0
Angola,2020-07-06,B.1.367,0
Angola,2020-07-06,B.1.620,0
Angola,2020-07-06,Beta,0
Angola,2020-07-06,Delta,0
Angola,2020-07-06,Epsilon,0
Angola,2020-07-06,Eta,0
Angola,2020-07-06,Gamma,0
Angola,2020-07-06,Iota,0
Angola,2020-07-06,Kappa,0
Angola,2020-07-06,Lambda,0
Angola,2020-07-06,Mu,0
Angola,2020-07-06,Omicron,0
Angola,2020-07-06,S:677H.Robin1,0
Angola,2020-07-06,S:677P.Pelican,0
Angola,2020-07-06,others,3
Angola,2020-07-06,non_who,3
Angola,2020-08-31,Alpha,0
Angola,2020-08-31,B.1.1.277,0
Angola,2020-08-31,B.1.1.302,0
Angola,2020-08-31,B.1.1.519,0
Angola,2020-08-31,B.1.160,0
Angola,2020-08-31,B.1.177,0
Angola,2020-08-31,B.1.221,0
Angola,2020-08-31,B.1.258,0
Angola,2020-08-31,B.1.367,0
Angola,2020-08-31,B.1.620,0
Angola,2020-08-31,Beta,1
Angola,2020-08-31,Delta,0
Angola,2020-08-31,Epsilon,0
Angola,2020-08-31,Eta,0
Angola,2020-08-31,Gamma,0
Angola,2020-08-31,Iota,0
Angola,2020-08-31,Kappa,0
Angola,2020-08-31,Lambda,0
Angola,2020-08-31,Mu,0
Angola,2020-08-31,Omicron,0
Angola,2020-08-31,S:677H.Robin1,0
Angola,2020-08-31,S:677P.Pelican,0
Angola,2020-08-31,others,0
Angola,2020-08-31,non_who,0
Angola,2020-09-28,Alpha,0
Angola,2020-09-28,B.1.1.277,0
Angola,2020-09-28,B.1.1.302,0
Angola,2020-09-28,B.1.1.519,0
Angola,2020-09-28,B.1.160,0
Angola,2020-09-28,B.1.177,0
Angola,2020-09-28,B.1.221,0
Angola,2020-09-28,B.1.258,0
Angola,2020-09-28,B.1.367,0
Angola,2020-09-28,B.1.620,0
Angola,2020-09-28,Beta,9
Angola,2020-09-28,Delta,0
Angola,2020-09-28,Epsilon,0
Angola,2020-09-28,Eta,0
Angola,2020-09-28,Gamma,0
Angola,2020-09-28,Iota,0
Angola,2020-09-28,Kappa,0
Angola,2020-09-28,Lambda,0
Angola,2020-09-28,Mu,0
Angola,2020-09-28,Omicron,0
Angola,2020-09-28,S:677H.Robin1,0
Angola,2020-09-28,S:677P.Pelican,0
Angola,2020-09-28,others,1
Angola,2020-09-28,non_who,1
